package,version,riskLevel,riskScore,toolCount,hasPostInstall,typosquatRisk,scannedAt
@dopplerhq/mcp-server,1.0.4,LOW,10,0,false,false,2026-04-28T03:51:40.045Z
@dormon/salesforce-mcp,0.0.8,CLEAN,0,0,false,false,2026-04-28T03:51:40.981Z
@0xarchive/mcp-server,1.6.0,LOW,5,0,false,false,2026-04-29T03:46:52.005Z
@2kw/ai-mcp-server,4.1.1,CLEAN,0,0,false,false,2026-04-29T03:46:53.042Z
@asterpay/mcp-server,2.0.0,CRITICAL,100,32,false,false,2026-04-29T03:46:54.229Z
@autopilot715/servicenow-mcp-server,1.0.4,LOW,10,0,false,false,2026-04-29T03:46:55.342Z
@beautiful-ccg/mcp-server,0.3.0,CLEAN,0,0,false,false,2026-04-29T03:46:56.369Z
@bitcompare/mcp-server,1.0.3,MEDIUM,30,0,false,false,2026-04-29T03:46:57.541Z
@bulkhead-ai/server,0.5.2,CLEAN,0,0,false,false,2026-04-29T03:46:58.871Z
@businys/mcp-server,1.0.1,CRITICAL,100,506,false,false,2026-04-29T03:47:00.314Z
@chathost/mcp-dev-darwin-arm64,1.2.10,CLEAN,0,0,false,false,2026-04-29T03:47:02.374Z
@civic/hook-common,0.9.0,CLEAN,0,14,false,false,2026-04-29T03:47:03.467Z
@claude-code-best/mcp-chrome-bridge,3.0.1,CRITICAL,100,0,true,false,2026-04-29T03:47:04.524Z
@codefromdesign/cfd,0.10.2,CLEAN,0,0,false,false,2026-04-29T03:47:05.648Z
@contractspec/bundle.alpic,3.7.25,CLEAN,0,0,false,false,2026-04-29T03:47:06.674Z
@coretext-ai/github-mcp-server-sls-c4d5e6f7-a8b9-4012-b345-456789012345,1.0.70,CLEAN,0,276,false,false,2026-04-29T03:47:07.921Z
@davoxi/mcp-server,1.4.0,HIGH,45,0,false,false,2026-04-29T03:47:08.915Z
@denizhosgor/pagespeedinsight-mcp,0.1.23,LOW,10,0,false,false,2026-04-29T03:47:10.004Z
@doomscrollr/mcp-server,1.0.15,MEDIUM,35,22,false,false,2026-04-29T03:47:11.117Z
@downatthebottomofthemolehole/terraform-best-practices-mcp-server,5.2.11,MEDIUM,30,28,false,false,2026-04-29T03:47:12.227Z
@dpesch/mantisbt-mcp-server,1.10.0,MEDIUM,25,0,false,false,2026-04-29T03:47:13.565Z
@draftt-io/draftt-mcp,1.4.1,CLEAN,0,10,false,false,2026-04-29T03:47:14.654Z
@drawio/mcp,1.2.6,CLEAN,0,3,false,false,2026-04-29T03:47:15.309Z
@dreb/semantic-search,2.13.0,CLEAN,0,2,false,false,2026-04-29T03:47:16.312Z
@driflyte/mcp-server,0.1.15,CLEAN,0,0,false,false,2026-04-29T03:47:17.794Z
@duytnb79/backlog-mcp,0.1.4,CLEAN,0,0,false,false,2026-04-29T03:47:18.946Z
@dwolla/mcp-server,1.1.2,CRITICAL,100,27,false,false,2026-04-29T03:47:20.561Z
@dxos/mcp-client,0.8.3,CLEAN,0,0,false,false,2026-04-29T03:47:21.737Z
@dynatrace-oss/dynatrace-managed-mcp-server,0.5.7,CLEAN,0,0,false,false,2026-04-29T03:47:22.729Z
@dynatrace-oss/dynatrace-mcp-server,1.8.3,CLEAN,0,0,false,false,2026-04-29T03:47:23.389Z
@dynomapper/mcp-server,0.1.7,CLEAN,0,32,false,false,2026-04-29T03:47:24.816Z
@eaa.dt/dt-bitbucket-mcp-server,1.0.2,MEDIUM,15,0,true,false,2026-04-29T03:47:26.138Z
@echosaw/mcp-server,1.4.0,CLEAN,0,10,false,false,2026-04-29T03:47:27.096Z
@edubase/mcp,1.1.5,CRITICAL,100,174,false,false,2026-04-29T03:47:28.184Z
@efimchik.aa/bitbucket-mcp-server,1.0.2,MEDIUM,15,0,true,false,2026-04-29T03:47:29.327Z
@eggjs/mcp-client,3.78.15,CLEAN,0,0,false,false,2026-04-29T03:47:30.560Z
@eggjs/mcp-proxy,3.78.15,CLEAN,0,0,false,false,2026-04-29T03:47:31.526Z
@eggjs/tegg-mcp-client,3.78.15,CLEAN,0,0,false,false,2026-04-29T03:47:32.679Z
@ehrocks/fe-mcp-server,1.0.6,CLEAN,0,0,false,false,2026-04-29T03:47:33.506Z
@elevideo/mcp-server,0.1.1,CLEAN,0,0,false,false,2026-04-29T03:47:34.713Z
